type,question,answer,file,notes,annotator
Who,Who is the contact for Diploma Ceremonies for Drama?,Amy Nichols,commencement_schedule_data.txt,,jialu
Who,Who is the contact for Diploma Ceremonies for Economics and Business Administration (Bachelor's)?,Jennifer Wegner,commencement_schedule_data.txt,,jialu
Who,Who is the contact for Diploma Ceremonies for Electrical & Computer Engineering (Bachelor's)?,Kimmy Nguyen,commencement_schedule_data.txt,,jialu
Who,Who is the contact for Diploma Ceremonies for Electrical & Computer Engineering (Master's)?,Kimmy Nguyen,commencement_schedule_data.txt,,jialu
Who,Who is the contact for Diploma Ceremonies for Electrical & Computer Engineering (Doctor's)?,Kimmy Nguyen,commencement_schedule_data.txt,,jialu
Who,Who is the contact for Diploma Ceremonies for Energy Science Technology & Policy?,Nicole Rihn,commencement_schedule_data.txt,,jialu
Who,Who is the contact for Diploma Ceremonies for Engineering & Public Policy?,Debbie Scappatura and Victoria Finney,commencement_schedule_data.txt,,jialu
Who,Who is the contact for Diploma Ceremonies for Engineering & Technology Innovation Management?,Julie Mull,commencement_schedule_data.txt,,jialu
Who,Who is the contact for Diploma Ceremonies for Information Networking Institute?,Jessica Becker,commencement_schedule_data.txt,,jialu
Who,Who is the contact for Diploma Ceremonies for School of Computer Science (Master's)?,Catherine Copetas,commencement_schedule_data.txt,,jialu
Who,Who is the contact for Diploma Ceremonies for School of Computer Science (Doctor's)?,Catherine Copetas,commencement_schedule_data.txt,,jialu
Who,Who is the contact for Diploma Ceremonies for School of Computer Science (Bachelor's)?,Catherine Copetas,commencement_schedule_data.txt,,jialu
Who,Who is the contact for Diploma Ceremonies for Social & Decision Sciences?,Connie Angermeier,commencement_schedule_data.txt,,jialu
Who,Who is the contact for Diploma Ceremonies for Statistics & Data Science (Master's and Doctor's)?,Teraya White and Danielle Hamilton,commencement_schedule_data.txt,,jialu
Who,Who is the contact for Diploma Ceremonies for Tepper School of Business (Master's)?,Wendy Hermann,commencement_schedule_data.txt,,jialu
Who,Who is the contact for Diploma Ceremonies for Tepper School of Business (Doctor's)?,Lawrence Rapp,commencement_schedule_data.txt,,jialu
What,When is CMU Spring Carnival 2024,"April 11-14, 2024",spring_carnival.txt,,jialu
What,"When is the Booth, Rides, and Dog Houses event scheduled on Thursday?",3:30-11 p.m.,spring_carnival.txt,,jialu
What,What are the Carnival Headquarters Tent hours on Thursday?,8 a.m.-7 p.m.,spring_carnival.txt,,jialu
What,What time do Friday's Preliminary Sweepstakes Races start?,8 a.m.,spring_carnival.txt,,jialu
What,What are the Scotch'n'Soda Performance times for Thursday?,7-9 p.m.,spring_carnival.txt,,jialu
When,"What dates are Faces of Carnival Photo Mosaic scheduled?",2/5/24 – 4/15/24,spring_carnival.txt,,jialu
What,"What event starts on April 5, 2024, and continues through April 14, 2024?",Booth Build & Midway Cam,spring_carnival.txt,,jialu
What,"What special event is scheduled for April 10, 2024, at 8:00 AM?",Here to Stay: Celebrating 40 Years at the Architecture Archives,spring_carnival.txt,,jialu
What,"What is happening at 3:00 PM on April 10, 2024?",WRCT Radio Buggy Preview,spring_carnival.txt,,jialu
What,What are the primary areas of focus for the Ph.D. in Language and Information Technology at Carnegie Mellon University?,Developing the next generation of scientific and entrepreneurial leaders.,LTI_programs.txt,,jialu
What,What are the course unit requirements for a Ph.D. in Language and Information Technologies at CMU?,96 units of graduate-level courses,LTI_programs.txt,,jialu
What,What is the final application deadline for Fall 2024 admission to LTI's graduate programs?,"December 13, 2023, at 3 p.m. EST.",LTI_programs.txt,,jialu
What,What are the two options available for completing the Master of Computational Data Science program?,Standard Timing (16 months) and Extended Timing (20 months),LTI_programs.txt,,jialu
What,What is the focus of the Master of Science in Intelligent Information Systems degree?,"Recognizing and extracting meaning from text, spoken language, and video.",LTI_programs.txt,,jialu
How,How long is the standard track for the MIIS-16 program?,16 months,LTI_programs.txt,,jialu
How,How many semesters does the MSAII degree typically take to complete?,Five consecutive semesters,Handbook-MSAII-2022-2023.txt,,jialu
What,What GPA is required for applying to the MSAII program?,A GPA of 3.0 or higher,Handbook-MSAII-2022-2023.txt,,jialu
Who,Who should be contacted for specific application or admissions questions related to the MSAII program?,"Michael I. Shamos, Amber Vivis, Carolyn Penstein Rosé",Handbook-MSAII-2022-2023.txt,,jialu
Who,Who is the Director of the MSAII program?,Michael I. Shamos,Handbook-MSAII-2022-2023.txt,,jialu
What,What are the three areas of concentration in the MCDS program?,"Analytics, Systems, and Human-Centered Data Science",MCDS Handbook 23-24 AY.txt,,jialu
T/F,Is there a thesis or dissertation requirement in the MCDS program?,No,MCDS Handbook 23-24 AY.txt,,jialu
Who,Who is the Program Director of the MIIS program?,Teruko Mitamura,MIIS Handbook_2023 - 2024.txt,,jialu
T/F,Are part-time study options available in the MIIS program?,Yes,MIIS Handbook_2023 - 2024.txt,,jialu
What,What is the policy for grade appeals in the MIIS program?,"Final grades will be changed only in exceptional circumstances and only with the approval of the instructor and the department, unit or program.",MIIS Handbook_2023 - 2024.txt,,jialu
What,What is the duration of the MLT program?,Two calendar years (24 months),MLT Student Handbook 2023 - 2024.txt,,jialu
What,What support is provided for graduate student funding in the MLT program?,Full funding (tuition plus stipend) is guaranteed for the first year,MLT Student Handbook 2023 - 2024.txt,,jialu
